date,location,total_cases
22/01/2020,China,547
22/01/2020,United States,1
22/01/2020,Japan,2
23/01/2020,China,639
23/01/2020,United States,1
23/01/2020,Japan,2
24/01/2020,China,916
24/01/2020,United States,2
24/01/2020,Japan,2
25/01/2020,China,1399
25/01/2020,United States,2
25/01/2020,Japan,2
26/01/2020,China,2062
26/01/2020,Australia,4
26/01/2020,United States,5
26/01/2020,Japan,4
27/01/2020,China,2863
27/01/2020,Australia,5
27/01/2020,United States,5
27/01/2020,Japan,4
28/01/2020,China,5494
28/01/2020,Australia,5
28/01/2020,United States,5
28/01/2020,Japan,7
29/01/2020,China,6070
29/01/2020,Australia,6
29/01/2020,United States,6
29/01/2020,Japan,7
30/01/2020,China,8124
30/01/2020,Australia,9
30/01/2020,United States,6
30/01/2020,Japan,11
30/01/2020,India,1
31/01/2020,China,9783
31/01/2020,Australia,9
31/01/2020,United Kingdom,2
31/01/2020,United States,8
31/01/2020,Japan,15
31/01/2020,India,1
01/02/2020,China,11871
01/02/2020,Australia,12
01/02/2020,United Kingdom,2
01/02/2020,United States,8
01/02/2020,Japan,20
01/02/2020,India,1
02/02/2020,China,16607
02/02/2020,Australia,12
02/02/2020,United Kingdom,2
02/02/2020,United States,8
02/02/2020,Japan,20
02/02/2020,India,2
03/02/2020,China,19693
03/02/2020,Australia,12
03/02/2020,United Kingdom,8
03/02/2020,United States,11
03/02/2020,Japan,20
03/02/2020,India,3
04/02/2020,China,23680
04/02/2020,Australia,13
04/02/2020,United Kingdom,8
04/02/2020,United States,11
04/02/2020,Japan,22
04/02/2020,India,3
05/02/2020,China,27409
05/02/2020,Australia,13
05/02/2020,United Kingdom,9
05/02/2020,United States,11
05/02/2020,Japan,23
05/02/2020,India,3
06/02/2020,China,30553
06/02/2020,Australia,14
06/02/2020,United Kingdom,9
06/02/2020,United States,12
06/02/2020,Japan,23
06/02/2020,India,3
07/02/2020,China,34075
07/02/2020,Australia,15
07/02/2020,United Kingdom,9
07/02/2020,United States,12
07/02/2020,Japan,23
07/02/2020,India,3
08/02/2020,China,36778
08/02/2020,Australia,15
08/02/2020,United Kingdom,13
08/02/2020,United States,12
08/02/2020,Japan,24
08/02/2020,India,3
09/02/2020,China,39790
09/02/2020,Australia,15
09/02/2020,United Kingdom,14
09/02/2020,United States,12
09/02/2020,Japan,24
09/02/2020,India,3
10/02/2020,China,42306
10/02/2020,Australia,15
10/02/2020,United Kingdom,14
10/02/2020,United States,12
10/02/2020,Japan,26
10/02/2020,India,3
11/02/2020,China,44327
11/02/2020,Australia,15
11/02/2020,United Kingdom,15
11/02/2020,United States,13
11/02/2020,Japan,27
11/02/2020,India,3
12/02/2020,China,44699
12/02/2020,Australia,15
12/02/2020,United Kingdom,16
12/02/2020,United States,13
12/02/2020,Japan,28
12/02/2020,India,3
13/02/2020,China,59832
13/02/2020,Australia,15
13/02/2020,United Kingdom,17
13/02/2020,United States,14
13/02/2020,Japan,33
13/02/2020,India,3
14/02/2020,China,66292
14/02/2020,Australia,15
14/02/2020,Egypt,1
14/02/2020,United Kingdom,18
14/02/2020,United States,14
14/02/2020,Japan,43
14/02/2020,India,3
15/02/2020,China,68347
15/02/2020,Australia,15
15/02/2020,Egypt,1
15/02/2020,United Kingdom,18
15/02/2020,United States,14
15/02/2020,Japan,54
15/02/2020,India,3
16/02/2020,China,70446
16/02/2020,Australia,15
16/02/2020,Egypt,1
16/02/2020,United Kingdom,18
16/02/2020,United States,14
16/02/2020,Japan,60
16/02/2020,India,3
17/02/2020,China,72364
17/02/2020,Australia,15
17/02/2020,Egypt,1
17/02/2020,United Kingdom,19
17/02/2020,United States,14
17/02/2020,Japan,67
17/02/2020,India,3
18/02/2020,China,74139
18/02/2020,Australia,15
18/02/2020,Egypt,1
18/02/2020,United Kingdom,19
18/02/2020,United States,14
18/02/2020,Japan,79
18/02/2020,India,3
19/02/2020,China,74546
19/02/2020,Australia,15
19/02/2020,Egypt,1
19/02/2020,United Kingdom,20
19/02/2020,United States,14
19/02/2020,Japan,85
19/02/2020,India,3
20/02/2020,China,74999
20/02/2020,Australia,15
20/02/2020,Egypt,1
20/02/2020,United Kingdom,22
20/02/2020,United States,14
20/02/2020,Japan,95
20/02/2020,India,3
21/02/2020,China,75472
21/02/2020,Australia,15
21/02/2020,Egypt,1
21/02/2020,United Kingdom,23
21/02/2020,United States,16
21/02/2020,Japan,112
21/02/2020,India,3
22/02/2020,China,76922
22/02/2020,Australia,15
22/02/2020,Egypt,1
22/02/2020,United Kingdom,23
22/02/2020,United States,16
22/02/2020,Japan,137
22/02/2020,India,3
23/02/2020,China,76938
23/02/2020,Chile,2
23/02/2020,Australia,15
23/02/2020,Egypt,1
23/02/2020,United Kingdom,28
23/02/2020,United States,16
23/02/2020,Japan,149
23/02/2020,India,3
24/02/2020,China,77152
24/02/2020,Chile,2
24/02/2020,Australia,15
24/02/2020,Egypt,1
24/02/2020,United Kingdom,30
24/02/2020,United States,16
24/02/2020,Japan,160
24/02/2020,India,3
25/02/2020,China,77660
25/02/2020,Chile,2
25/02/2020,Australia,15
25/02/2020,Egypt,1
25/02/2020,United Kingdom,34
25/02/2020,United States,16
25/02/2020,Japan,173
25/02/2020,India,3
26/02/2020,China,78065
26/02/2020,Chile,2
26/02/2020,Australia,15
26/02/2020,Egypt,1
26/02/2020,United Kingdom,37
26/02/2020,United States,16
26/02/2020,Japan,192
26/02/2020,India,3
27/02/2020,China,78498
27/02/2020,Chile,2
27/02/2020,Australia,15
27/02/2020,Egypt,1
27/02/2020,United Kingdom,44
27/02/2020,United States,17
27/02/2020,Japan,218
27/02/2020,India,3
28/02/2020,China,78824
28/02/2020,Chile,2
28/02/2020,Australia,15
28/02/2020,Egypt,1
28/02/2020,United Kingdom,56
28/02/2020,United States,17
28/02/2020,Japan,236
28/02/2020,India,3
29/02/2020,China,79251
29/02/2020,Chile,2
29/02/2020,Australia,25
29/02/2020,Egypt,1
29/02/2020,United Kingdom,61
29/02/2020,United States,25
29/02/2020,Japan,245
29/02/2020,India,3
01/03/2020,China,79826
01/03/2020,Chile,9
01/03/2020,Australia,27
01/03/2020,Egypt,2
01/03/2020,United Kingdom,94
01/03/2020,United States,32
01/03/2020,Japan,259
01/03/2020,India,3
02/03/2020,China,80026
02/03/2020,Chile,9
02/03/2020,Australia,30
02/03/2020,Egypt,2
02/03/2020,United Kingdom,134
02/03/2020,United States,55
02/03/2020,Japan,278
02/03/2020,India,5
03/03/2020,China,80151
03/03/2020,Chile,10
03/03/2020,Australia,39
03/03/2020,Egypt,2
03/03/2020,United Kingdom,189
03/03/2020,United States,74
03/03/2020,Japan,298
03/03/2020,India,5
04/03/2020,China,80271
04/03/2020,Chile,10
04/03/2020,Australia,52
04/03/2020,Egypt,2
04/03/2020,United Kingdom,245
04/03/2020,United States,107
04/03/2020,Hungary,2
04/03/2020,Japan,333
04/03/2020,India,28
05/03/2020,China,80422
05/03/2020,Chile,13
05/03/2020,Australia,55
05/03/2020,Egypt,3
05/03/2020,United Kingdom,294
05/03/2020,United States,184
05/03/2020,Hungary,2
05/03/2020,Japan,365
05/03/2020,South Africa,1
05/03/2020,India,30
06/03/2020,China,80573
06/03/2020,Chile,13
06/03/2020,Australia,60
06/03/2020,Egypt,15
06/03/2020,United Kingdom,373
06/03/2020,United States,237
06/03/2020,Hungary,2
06/03/2020,Japan,420
06/03/2020,South Africa,1
06/03/2020,India,31
07/03/2020,China,80652
07/03/2020,Chile,13
07/03/2020,Australia,63
07/03/2020,Egypt,15
07/03/2020,United Kingdom,428
07/03/2020,United States,403
07/03/2020,Hungary,4
07/03/2020,Japan,466
07/03/2020,South Africa,1
07/03/2020,India,34
08/03/2020,China,80699
08/03/2020,Chile,20
08/03/2020,Australia,76
08/03/2020,Egypt,49
08/03/2020,United Kingdom,482
08/03/2020,United States,519
08/03/2020,Hungary,7
08/03/2020,Japan,499
08/03/2020,South Africa,3
08/03/2020,India,39
09/03/2020,China,80735
09/03/2020,Chile,20
09/03/2020,Australia,91
09/03/2020,Egypt,55
09/03/2020,United Kingdom,629
09/03/2020,United States,594
09/03/2020,Hungary,9
09/03/2020,Japan,527
09/03/2020,South Africa,3
09/03/2020,India,43
10/03/2020,China,80757
10/03/2020,Chile,25
10/03/2020,Australia,107
10/03/2020,Egypt,59
10/03/2020,United Kingdom,887
10/03/2020,United States,782
10/03/2020,Hungary,9
10/03/2020,Japan,585
10/03/2020,South Africa,7
10/03/2020,India,56
11/03/2020,China,80785
11/03/2020,Chile,35
11/03/2020,Australia,128
11/03/2020,Egypt,60
11/03/2020,United Kingdom,1298
11/03/2020,United States,1147
11/03/2020,Hungary,13
11/03/2020,Japan,640
11/03/2020,South Africa,13
11/03/2020,India,62
12/03/2020,China,80793
12/03/2020,Chile,35
12/03/2020,Australia,128
12/03/2020,Egypt,67
12/03/2020,United Kingdom,1787
12/03/2020,United States,1586
12/03/2020,Hungary,13
12/03/2020,Japan,696
12/03/2020,South Africa,17
12/03/2020,India,73
13/03/2020,China,80801
13/03/2020,Chile,55
13/03/2020,Australia,200
13/03/2020,Egypt,80
13/03/2020,United Kingdom,2266
13/03/2020,United States,2219
13/03/2020,Hungary,19
13/03/2020,Japan,733
13/03/2020,South Africa,24
13/03/2020,India,82
14/03/2020,China,80827
14/03/2020,Chile,88
14/03/2020,Australia,250
14/03/2020,Egypt,109
14/03/2020,United Kingdom,2630
14/03/2020,United States,2978
14/03/2020,Hungary,30
14/03/2020,Japan,795
14/03/2020,South Africa,38
14/03/2020,India,102
15/03/2020,China,80848
15/03/2020,Chile,101
15/03/2020,Australia,297
15/03/2020,Egypt,110
15/03/2020,United Kingdom,3072
15/03/2020,United States,3212
15/03/2020,Hungary,32
15/03/2020,Japan,826
15/03/2020,South Africa,51
15/03/2020,India,113
16/03/2020,China,80867
16/03/2020,Chile,182
