location,location_code,geographic_level,time_period,Ethnicity,AgeBand,Gender,AppType,LevelOfLearningGroup,BAME,LevelOfLearning,EthnicityDetailed,Provision,LearningDifficulties,BenefitLearner,NotSustainedPercent,BenefitPercent,NumberOfLearners,NoDestPercent,NumberOfMatchedLearners,EmpAndLearnPercent,EmpOnlyPercent,LearnOnlyPercent
England,E92000001,country,201314,Total,19 - 24,Total,Total,Total,Total,Total,Total,Education & Training,Total,Total,19,6,284880,6,282020,15,41,13
England,E92000001,country,201314,Total,19 - 24,Female,Total,Total,Total,Total,Total,Education & Training,Total,Total,16,7,137040,5,135230,18,40,14
England,E92000001,country,201314,Total,19 - 24,Male,Total,Total,Total,Total,Total,Education & Training,Total,Total,22,5,147840,6,146790,13,42,12
England,E92000001,country,201314,Total,25 - 49,Total,Total,Total,Total,Total,Total,Education & Training,Total,Total,16,7,745950,7,737440,11,50,9
England,E92000001,country,201314,Total,25 - 49,Female,Total,Total,Total,Total,Total,Education & Training,Total,Total,14,6,423430,7,418370,13,48,12
England,E92000001,country,201314,Total,25 - 49,Male,Total,Total,Total,Total,Total,Education & Training,Total,Total,18,8,322520,6,319070,7,54,5
England,E92000001,country,201314,Total,50 and over,Total,Total,Total,Total,Total,Total,Education & Training,Total,Total,16,10,246300,8,243950,8,50,7
England,E92000001,country,201314,Total,50 and over,Female,Total,Total,Total,Total,Total,Education & Training,Total,Total,14,7,135200,9,133740,10,52,8
England,E92000001,country,201314,Total,50 and over,Male,Total,Total,Total,Total,Total,Education & Training,Total,Total,19,13,111100,8,110210,6,48,6
England,E92000001,country,201415,Total,19 - 24,Total,Total,Total,Total,Total,Total,Education & Training,Total,Total,17,6,223670,6,220740,17,39,15
England,E92000001,country,201415,Total,19 - 24,Female,Total,Total,Total,Total,Total,Education & Training,Total,Total,14,6,109040,6,107290,19,39,15
England,E92000001,country,201415,Total,19 - 24,Male,Total,Total,Total,Total,Total,Education & Training,Total,Total,20,5,114630,7,113450,14,39,14
England,E92000001,country,201415,Total,25 - 49,Total,Total,Total,Total,Total,Total,Education & Training,Total,Total,14,7,593430,8,586060,12,50,9
England,E92000001,country,201415,Total,25 - 49,Female,Total,Total,Total,Total,Total,Education & Training,Total,Total,13,6,352190,8,347890,14,47,12
England,E92000001,country,201415,Total,25 - 49,Male,Total,Total,Total,Total,Total,Education & Training,Total,Total,17,8,241240,7,238170,8,54,6
England,E92000001,country,201415,Total,50 and over,Total,Total,Total,Total,Total,Total,Education & Training,Total,Total,15,9,197350,9,195210,8,50,7
England,E92000001,country,201415,Total,50 and over,Female,Total,Total,Total,Total,Total,Education & Training,Total,Total,13,7,111990,9,110670,11,52,8
England,E92000001,country,201415,Total,50 and over,Male,Total,Total,Total,Total,Total,Education & Training,Total,Total,18,13,85360,9,84540,6,48,6
England,E92000001,country,201516,Total,19 - 24,Total,Total,Total,Total,Total,Total,Education & Training,Total,Total,16,5,167640,7,165770,18,37,18
England,E92000001,country,201516,Total,19 - 24,Female,Total,Total,Total,Total,Total,Education & Training,Total,Total,13,5,83050,6,81890,20,37,17
England,E92000001,country,201516,Total,19 - 24,Male,Total,Total,Total,Total,Total,Education & Training,Total,Total,18,4,84590,7,83890,16,37,18
England,E92000001,country,201516,Total,25 - 49,Total,Total,Total,Total,Total,Total,Education & Training,Total,Total,14,6,456030,8,451140,13,48,11
England,E92000001,country,201516,Total,25 - 49,Female,Total,Total,Total,Total,Total,Education & Training,Total,Total,13,5,279650,8,276590,15,45,14
England,E92000001,country,201516,Total,25 - 49,Male,Total,Total,Total,Total,Total,Education & Training,Total,Total,16,7,176380,7,174550,10,53,7
England,E92000001,country,201516,Total,50 and over,Total,Total,Total,Total,Total,Total,Education & Training,Total,Total,15,9,149390,9,148060,9,50,8
